Food,Size,Price,Category
Soft Baked Chocolate Chip Cookie,1 Pc.,0.39,ST
Apple Pie,,0.99,ST
Strawberry & Creme Pie (Limited Time),,0.99,ST
Grilled Onion Cheddar Burger,,1,MMM
BBQ Ranch Burger,,1,MMM
Cheeseburger,,1,MMM
Parfait,,1,MMM
3 Cookies,,1,MMM
Cone,,1,MMM
Apple Slices,2 Bags,1,MMM
Premium Roast Coffee,Small,1,MD
Sweet Tea,Small,1,MD
Soft Drink,Small,1,MD
Milk,,1,MD
Dasani Water,Bottle,1,MD
Cone (Vanilla),,1,ST
Soft Baked Chocolate Chip Cookie,3 Pc.,1,ST
Hash Browns,,1.09,MBM
Mozzarella Sticks,3 Pc.,1.19,SS
Sausage McMuffin,,1.19,MBM
Sausage Biscuit,,1.19,MBM
McChicken,,1.29,MMM
Sausage Burrito,,1.29,MBM
Premium Roast Coffee,Medium,1.29,MD
Sweet Tea,Medium,1.29,MD
Soft Drink,Medium,1.29,MD
Sundae (Hot Fudge or Caramel),,1.29,ST
French Fries,Small,1.39,SS
McDouble,,1.39,MMM
Egg & Cheese Biscuit,,1.39,MBM
Iced Coffee,Small,1.39,MD
Premium Roast Coffee,Large,1.49,MD
Sweet Tea,Large,1.49,MD
Soft Drink,Large,1.49,MD
Side Salad,,1.59,MMM
Orange Juice,Small,1.59,MD
Chicken Ranch Snack Wrap (Grilled or Crispy),,1.69,SS
Double Cheeseburger,,1.69,MMM
Cinnamon Melt,,1.69,MBM
French Fries,Medium,1.79,SS
Iced Coffee,Medium,1.79,MD
McFlurry,Snack,1.79,ST
French Fries,Large,1.89,SS
Orange Juice,Medium,1.89,MD
Daily Double,,1.99,MMM
4 Pc. Chicken McNuggets,,1.99,MMM
Iced Coffee,Large,1.99,MD
Fruit & Maple Oatmeal,,1.99,OM
2 Cheeseburgers,,2,EVM
Entree (McDouble or McChicken) & Side (Small Fries or 3 Pc. Mozzarella Sticks),,2,MP
Bacon McDouble,,2,MMM
Orange Juice,Large,2.09,MD
Shake,Small,2.19,ST
Shamrock Shake (Limited Time),Small,2.19,ST
Smoothie,Small,2.39,MD
Frappe,Small,2.39,MD
Espresso & Chocolate,Small,2.39,MD
McFlurry,Regular,2.39,ST
2 Sausage Burritos,,2.39,BFM
Hamburger,,2.49,HM
3 Hot Cakes,,2.49,MP
